Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.535211888,7.226046654,7.227852569,7.177928757,7.211567464,7.238060832
7.535034424,7.224881524,7.225467066,7.175128045,7.192911896,7.23558118
7.534893157,7.221943908,7.223284061,7.172565311,7.206773156,7.233476628
7.534784694,7.220778405,7.221361396,7.170255259,7.18845912,7.231470963
7.534712951,7.218746994,7.219654738,7.168193913,7.2029447,7.229850523
7.534674494,7.217591776,7.218207823,7.166389389,7.185010586,7.228331885
7.534672456,7.216477075,7.216987403,7.164841262,7.200106232,7.227205328
7.534703988,7.215341982,7.216027518,7.163556403,7.18258928,7.226185079
7.534771928,7.215150242,7.215299688,7.162529556,7.198276755,7.225558616
7.534869381,7.214036606,7.214828825,7.161768145,7.181204857,7.225038889
7.535005487,7.214772095,7.214598531,7.161269743,7.19746438,7.224917114
7.535172365,7.21368703,7.214623416,7.161040042,7.180870038,7.224904575
7.535376555,7.215352302,7.214894741,7.161075752,7.197680555,7.22529153
7.535609922,7.21429501,7.215413303,7.16137716,7.181587643,7.22578392
7.535881331,7.216886026,7.216184255,7.161946449,7.198921787,7.226677184
7.536181827,7.215860515,7.217198342,7.162782305,7.183358083,7.227676308
7.536519649,7.219371159,7.218465673,7.163883166,7.201187019,7.229072223
7.536885988,7.218373404,7.219968143,7.16524713,7.186171068,7.230570756
7.537289309,7.222794806,7.221726286,7.166875021,7.204463627,7.232463332
7.537720212,7.221822458,7.223710846,7.168761785,7.190014686,7.234454726
7.538187678,7.227141389,7.225950776,7.17090842,7.20873609,7.236834439
7.53868124,7.226189509,7.228407581,7.173308922,7.194869633,7.239308548
7.539210417,7.23238831,7.231116364,7.17596176,7.213981277,7.242161982
7.539765062,7.231449634,7.234032502,7.178863388,7.200709227,7.245105483
7.540353003,7.238509431,7.237196536,7.182009329,7.220172029,7.248418503
7.540965887,7.237574551,7.240556037,7.185396116,7.207502905,7.251815009
7.541610152,7.245472487,7.244158508,7.189018563,7.227274636,7.255570175
7.542277701,7.244529037,7.247941573,7.192870476,7.215212716,7.259399483
7.542975218,7.253239249,7.251963169,7.196949698,7.235248772,7.263576787
7.543693576,7.252274531,7.256149003,7.201246062,7.223796924,7.267817644
7.5444401,7.261766824,7.26056663,7.205758269,7.244049241,7.272393318
7.545206148,7.260767265,7.265132566,7.210476017,7.233207887,7.277022512
7.545997465,7.271008211,7.269920675,7.215394999,7.253626288,7.281970325
7.546806483,7.269958103,7.274841234,7.220507528,7.243392245,7.286961753
7.547638047,7.280912911,7.279973266,7.225806064,7.263926075,7.292254449
7.548485643,7.279793666,7.285219416,7.23128318,7.254292037,7.297578481
7.549353131,7.291423831,7.290665581,7.236930373,7.274887819,7.303185538
7.550232876,7.290215976,7.296206746,7.242740276,7.26584428,7.308810984
7.551128084,7.302481303,7.301936248,7.248704031,7.286447952,7.314700829
