Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.543114709,7.286662736,7.290345296,7.246756873,7.269028062,7.301451893
7.542470554,7.281654307,7.285063517,7.240956551,7.263561247,7.296091469
7.541853598,7.276678947,7.279922096,7.235314905,7.258082826,7.290879163
7.541265134,7.271970223,7.274948237,7.229827708,7.252938452,7.285834147
7.540705005,7.267305773,7.270128469,7.224514192,7.247787708,7.280951163
7.540174633,7.262922686,7.265489981,7.219370848,7.242994621,7.276249411
7.539673844,7.258594136,7.261017882,7.214414231,7.238199153,7.271722166
7.539204752,7.254561826,7.25674093,7.209643284,7.233784775,7.267390197
7.538766203,7.250594223,7.252642814,7.205073337,7.229372523,7.263245341
7.538360113,7.246935341,7.248751291,7.20070136,7.22536192,7.259307355
7.537985642,7.243349522,7.24504894,7.196542645,7.221356159,7.255567011
7.537644997,7.240086749,7.241566635,7.19259656,7.217774384,7.252047048
7.537336862,7.236904698,7.238282968,7.188874474,7.214199346,7.248734327
7.537062334,7.234054408,7.235227388,7.185374454,7.211064962,7.24565018
7.536821975,7.231293793,7.232380881,7.182110292,7.207940497,7.24278375
7.536615242,7.22887308,7.229770154,7.179076955,7.205272548,7.240153723
7.536442965,7.226549261,7.227377007,7.176289271,7.202616011,7.237749913
7.536305523,7.22457372,7.225227519,7.173741868,7.200431887,7.235590522
7.536202063,7.222699634,7.22330139,7.171446402,7.198257962,7.233663078
7.536134509,7.221181776,7.221626572,7.16940127,7.196571959,7.231987817
7.536100329,7.219766808,7.220177358,7.167610018,7.194891551,7.230546733
7.536102043,7.218716074,7.218987375,7.166079038,7.193714305,7.229365727
7.536137597,7.217771375,7.218026815,7.16480639,7.192540166,7.228422684
7.536209104,7.217193026,7.217327445,7.163797303,7.191877982,7.227741747
7.536309989,7.216722169,7.216859603,7.163049163,7.191214988,7.227300767
7.536448198,7.216618792,7.216654037,7.162567446,7.191071493,7.227122888
7.53661966,7.216626503,7.216683772,7.16235009,7.19092498,7.22718868
7.536824683,7.217003195,7.216977678,7.162402598,7.19130591,7.22751961
7.537063635,7.21748931,7.217504982,7.16271829,7.191676646,7.228091843
7.537335234,7.21834278,7.218295218,7.163302966,7.19257883,7.228928077
7.537641232,7.219305894,7.219318767,7.164151671,7.19346592,7.230005387
7.537978757,7.220633679,7.220603005,7.165267521,7.194886983,7.231344278
7.538350685,7.222069029,7.222117995,7.166645495,7.19628585,7.232921519
7.53875406,7.223865269,7.22389047,7.16828789,7.198219825,7.234757004
7.539190427,7.225765507,7.225889338,7.170188118,7.200122956,7.236826236
7.539657534,7.228020881,7.228140517,7.172348486,7.202560076,7.239148447
7.540156959,7.230375474,7.230612528,7.174760947,7.204956695,7.241698535
7.540685673,7.23307856,7.23333081,7.177428132,7.207884831,7.244495449
7.541246081,7.235876116,7.236264136,7.180341462,7.210762975,7.247514075
