Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.540815264,7.236134734,7.236650163,7.181080809,7.211419161,7.24788111
7.541415973,7.239262874,7.239918695,7.184357701,7.214649226,7.2512388
7.54204532,7.242691491,7.243405473,7.187867313,7.218383844,7.25481777
7.542702507,7.246234416,7.247105266,7.191615146,7.222065183,7.258613194
7.543385919,7.250066436,7.251014612,7.195587228,7.22624381,7.262620785
7.544094772,7.25400295,7.2551238,7.19978392,7.230354081,7.266831578
7.544828427,7.258215693,7.25943234,7.204194405,7.234952281,7.271243822
7.54558575,7.262525545,7.263929852,7.208818649,7.239469834,7.275848284
7.546365432,7.267095206,7.268613138,7.213642521,7.244462018,7.280640139
7.547166496,7.271752097,7.273471686,7.218665983,7.249358774,7.28561037
7.547987705,7.276652928,7.278503204,7.223875993,7.254717188,7.29075467
7.548828948,7.281632428,7.283697345,7.229272365,7.259966841,7.296064521
7.549686378,7.28683574,7.289047431,7.234837849,7.265660536,7.301530979
7.550559446,7.292106938,7.294545267,7.240573801,7.271230124,7.307147875
7.551446032,7.297582316,7.30018253,7.246462031,7.277226244,7.312904419
7.55235003,7.303117738,7.305955284,7.252507665,7.283086012,7.318798828
7.553263317,7.30883289,7.311846311,7.258683533,7.289349585,7.324811379
7.554192434,7.314600076,7.317860152,7.265003063,7.295464482,7.330948712
7.555127663,7.320524682,7.323973508,7.271433641,7.301962457,7.337185057
7.556075529,7.326488026,7.330191521,7.277988243,7.30829435,7.343527744
7.557026974,7.332587594,7.336491373,7.284635672,7.314989186,7.349951268
7.557988362,7.338712459,7.342877633,7.291387596,7.321500866,7.356462675
7.558950688,7.344952309,7.349327911,7.298213886,7.328354828,7.363036581
7.559920075,7.351203067,7.355845328,7.305123602,7.335007769,7.369678854
7.560887363,7.357546466,7.362407873,7.31208799,7.341980815,7.376364222
7.561858478,7.363885174,7.369017175,7.319114377,7.348734456,7.383097428
7.562825222,7.370294503,7.375652964,7.326175467,7.355785755,7.389854515
7.563792548,7.376687367,7.38231873,7.333280312,7.362603096,7.396642377
7.564752675,7.38312487,7.38898857,7.340396522,7.369691673,7.403431351
7.565710457,7.389532893,7.395670358,7.347536765,7.376530767,7.410232709
7.566657531,7.395960648,7.402334819,7.354666237,7.383615402,7.417013441
7.567600219,7.40234597,7.408993289,7.361799714,7.390435373,7.423788279
7.568528915,7.40872896,7.415615777,7.368902914,7.397477531,7.430523405
7.569450312,7.415051853,7.422209787,7.375985811,7.404235759,7.437229987
7.570354917,7.421352764,7.428751527,7.383021278,7.411194825,7.443880038
7.571249771,7.427578843,7.435245026,7.390014611,7.417853755,7.450481617
7.572124635,7.433760072,7.441667112,7.396940589,7.424688938,7.457007076
7.572986778,7.439851462,7.448020671,7.403802226,7.431207744,7.463463646
7.573827004,7.445877624,7.454286151,7.410578442,7.437880171,7.469826905
7.57465189,7.451799493,7.460463633,7.417269411,7.444221213,7.476101724
7.575452023,7.457635686,7.466536112,7.423856664,7.450692786,7.482265846
7.576230429,7.463349417,7.472497574,7.430334005,7.456814575,7.488318416
7.576984053,7.468959716,7.478339702,7.436692191,7.463046221,7.494245369
7.577716863,7.474439068,7.484057344,7.442925203,7.468919732,7.500047451
7.578420025,7.479793484,7.48963807,7.449019879,7.474878573,7.505705971
7.579100436,7.485003026,7.495075117,7.454969189,7.480465669,7.511220103
7.579750025,7.490070777,7.500362155,7.460765227,7.486117855,7.516577309
7.58037557,7.494982875,7.505489762,7.466398589,7.491388266,7.521774355
7.580968791,7.499734497,7.510452323,7.471862704,7.496701594,7.526799061
7.581536021,7.504320736,7.515240894,7.477147821,7.501624511,7.531649004
7.582069944,7.508729621,7.519851192,7.4822491,7.506569636,7.536313075
7.58257696,7.512964962,7.524274496,7.487157082,7.511117692,7.540789323
7.583049302,7.517006533,7.528506882,7.491867161,7.515667562,7.545066785
7.58349347,7.520868211,7.532541097,7.496371268,7.519815765,7.549145184
7.583902069,7.52451945,7.536371478,7.500663653,7.523945081,7.553011728
7.584280651,7.527983742,7.53999181,7.504736429,7.52766767,7.556667292
7.584623537,7.531224096,7.543398779,7.508587197,7.53135378,7.560101288
7.584935336,7.53427492,7.546588336,7.512209524,7.534632953,7.563316876
7.585210776,7.537086697,7.549553252,7.51559712,7.537855999,7.566299524
7.585453949,7.539704587,7.552291755,7.518746458,7.540670712,7.569054787
7.585659678,7.542072594,7.554798707,7.521653134,7.543413885,7.571570076
7.585833067,7.54424488,7.557072867,7.524313659,7.545749977,7.573851598
7.58596791,7.546154835,7.559106874,7.526722197,7.547997405,7.575884545
7.58607009,7.547868464,7.560902972,7.528878353,7.54984063,7.577678628
7.586133773,7.549311927,7.562455033,7.53077757,7.551582441,7.579220177
7.58616435,7.550559494,7.563765195,7.532419774,7.552924446,7.58051899
7.58615592,7.551526651,7.564825092,7.533797636,7.554149743,7.581559029
7.586114608,7.552300948,7.565641666,7.534916159,7.554982365,7.582354971
7.586033999,7.552788454,7.566205546,7.535767238,7.555686822,7.582889786
7.585919822,7.553083757,7.566522839,7.53635484,7.556003956,7.583177348
7.585764775,7.553089112,7.566587955,7.536675112,7.556184425,7.583204334
7.585577075,7.552903456,7.566403785,7.536728157,7.555983695,7.582981582
7.585352337,7.552428781,7.565971869,7.536517794,7.555641572,7.582502654
7.58509487,7.551766785,7.565290686,7.536039475,7.554927322,7.581774241
7.584799789,7.55081202,7.564361818,7.535297384,7.554062422,7.580789818
7.584473779,7.549678691,7.563188614,7.534291902,7.552839714,7.579560995
7.584110742,7.548250834,7.561769715,7.533023988,7.551458886,7.578078339
7.583717834,7.546652188,7.560110765,7.531496413,7.549733948,7.576355703
7.583288534,7.544760856,7.558211497,7.529711828,7.547846966,7.574384824
7.582830619,7.542705819,7.556075903,7.527670719,7.545629186,7.572177923
7.582337796,7.540360987,7.553706607,7.525379262,7.543246479,7.569729562
