Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.551580241,0.7999999347,0.9868796116,2.022252696,0.4262272012,-0.9256564731,1.325889972,0.1132888984,-0.9453202122,-0.8565343304,-1.005985986,0.05695920677,-0.6481600897,0.9074017501,1.36970511,0.4456163847,0.4354350931,-0.3665225104,0.5627562946,0.8178837921,0.7004357982
7.554335609,0.7997260284,0.987947579,2.024852488,0.4255722214,-0.921859552,1.324621769,0.1380929566,-0.946395158,-0.8592028093,-1.009591027,0.07350522598,-0.6150594435,0.9194111325,1.464089905,0.4752083465,0.4357536425,-0.3347152847,0.6276869209,0.8539973192,0.7351886695
7.557186767,0.7995220379,0.9888961064,2.027667191,0.4248861726,-0.9178210678,1.323767319,0.1513180263,-0.9515527768,-0.8623368345,-1.017859304,0.08249560926,-0.5862132057,0.9281905838,1.56120067,0.5055766258,0.4360849178,-0.3026390793,0.6945709312,0.8943420726,0.7708053226
7.560088843,0.7993906654,0.9897125929,2.030661026,0.4241777178,-0.9135919165,1.323338357,0.1527793026,-0.9607397008,-0.8659016613,-1.030706577,0.08379860939,-0.5619965345,0.9336264541,1.659802125,0.5363434998,0.4364172988,-0.2706952389,0.7625536228,0.938415713,0.8068214319
7.5630018,0.7993336937,0.9903860479,2.033795769,0.4234558754,-0.9092255239,1.323341132,0.1424416204,-0.9738536871,-0.8698538995,-1.047985649,0.07737612367,-0.5427352489,0.9356430285,1.758640932,0.5671172228,0.4367484775,-0.2392943465,0.8307642307,0.9856599898,0.8427741313
7.565884223,0.799351958,0.9909072629,2.037031291,0.422729901,-0.904777274,1.323776247,0.1204195554,-0.990739482,-0.8741400936,-1.069486717,0.06328396648,-0.5286962008,0.9341999799,1.856451053,0.5974982119,0.4370770815,-0.2088447536,0.8983212141,1.035467539,0.8781990526
7.568697078,0.7994453306,0.991268982,2.040326055,0.4220091601,-0.9003037691,1.324638653,0.08698292696,-1.011189617,-0.8787097226,-1.09495098,0.04168790446,-0.5200708228,0.9293134772,1.951978243,0.6271040227,0.4373938084,-0.179732598,0.9643506334,1.087205082,0.9126297561
7.571408331,0.7996127196,0.9914660343,2.04363765,0.421303001,-0.895862097,1.325917675,0.04254800524,-1.034950423,-0.8835047174,-1.124061555,0.01284904684,-0.5169863087,0.9210400433,2.043996008,0.6555527232,0.4376961899,-0.1523359909,1.027995347,1.140205915,0.9456162286
7.573987391,0.7998520801,0.9914954138,2.046923382,0.4206206225,-0.8915091978,1.327597084,-0.0123280825,-1.061723104,-0.8884595045,-1.156447313,-0.0228789747,-0.5195018904,0.9094754102,2.131315708,0.6824710878,0.4379829758,-0.1270153583,1.088422396,1.193780076,0.9767267098
7.576400176,0.8001604371,0.9913563781,2.050140838,0.4199709435,-0.8873010535,1.329655339,-0.07695154041,-1.091164744,-0.893513488,-1.19169877,-0.06503984911,-0.5275924425,0.8947692934,2.212807999,0.7075166608,0.4382459904,-0.1040949264,1.144842198,1.247236035,1.00554614
