Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
6.931613503,7.10774235,7.13732157,7.084261889,7.114581269,7.171900104
6.954039453,7.129616697,7.159374813,7.106752075,7.137245466,7.193834362
6.974724581,7.151773602,7.181270112,7.129101057,7.159165884,7.215605001
6.996804961,7.173346317,7.20298715,7.151280676,7.181496951,7.237189782
7.017232967,7.195083256,7.22448263,7.1732542,7.203020085,7.258547649
7.0388458,7.216227508,7.245736748,7.194993969,7.224889093,7.279656975
7.058890174,7.237416758,7.266705136,7.216462091,7.245886143,7.300475505
7.079903939,7.258001651,7.287365798,7.237628603,7.2671603,7.320979686
7.099441924,7.278516757,7.307681005,7.258462857,7.287503825,7.341133603
7.119744828,7.298424767,7.327630779,7.278935944,7.308063499,7.360915885
7.138652619,7.318139734,7.347167177,7.299007594,7.327626384,7.380280526
7.158117033,7.337245075,7.366280882,7.318659546,7.347344323,7.39921664
7.176282781,7.356045831,7.384924515,7.337851818,7.366011237,7.417678849
7.194794064,7.374231634,7.403085737,7.35656307,7.384768877,7.435653362
7.21209912,7.391999191,7.420718098,7.374754748,7.40241998,7.453095627
7.229548751,7.409153422,7.437815174,7.392410671,7.420103678,7.469997825
7.245888999,7.425782259,7.45433085,7.409493416,7.436632297,7.486315699
7.26216377,7.441794605,7.470254397,7.425981547,7.453130603,7.502037299
7.277436623,7.45718075,7.48554953,7.441848657,7.468431726,7.517127936
7.292445013,7.47195594,7.500204725,7.457070947,7.483647887,7.531575075
7.306545807,7.485997734,7.514178205,7.471618396,7.497619234,7.545338628
7.320193799,7.499441843,7.52747172,7.485478582,7.511458164,7.558419007
7.333043592,7.512056568,7.540040884,7.4986202,7.524015845,7.570773815
7.345243904,7.524084263,7.551888107,7.511031103,7.536391393,7.582404065
7.356755822,7.535189248,7.562970741,7.522681461,7.547452012,7.593269002
7.367429633,7.545722092,7.573294101,7.533562331,7.55828494,7.603372738
7.377532898,7.555247347,7.582820321,7.543648859,7.567777818,7.612679134
7.386618757,7.564221579,7.591556668,7.552933355,7.577003445,7.621194324
7.395250205,7.572107207,7.599466883,7.561393125,7.584867986,7.628883724
7.402685577,7.579462452,7.606556823,7.569019077,7.592425529,7.635752249
7.409791199,7.585656991,7.612799781,7.575798026,7.598609747,7.641774568
7.415530074,7.591347553,7.618198374,7.581717389,7.604452947,7.646952718
7.421063275,7.595808366,7.6227319,7.586770534,7.608913953,7.651267037
7.425066997,7.599799231,7.626404996,7.590946165,7.613007405,7.654721816
7.429002895,7.602502093,7.629204867,7.594246282,7.615720378,7.657305034
7.431244765,7.604767944,7.63112819,7.596651192,7.618038699,7.659013422
7.433548929,7.605687502,7.6321695,7.598170673,7.61897824,7.659841954
7.434014448,7.606215432,7.632331032,7.598790323,7.619508472,7.659793089
7.434684228,7.605349886,7.631612102,7.598524556,7.618672438,7.658866384
7.433367608,7.604138716,7.630011664,7.597356208,7.617413517,7.657061284
7.432397392,7.60148856,7.627533376,7.595303534,7.614802477,7.654381457
7.42930492,7.59854794,7.624181489,7.592355227,7.61176417,7.650831763
7.426710856,7.59413352,7.619964361,7.58853356,7.607398391,7.64642041
7.421855365,7.589480295,7.614879076,7.583821159,7.602598108,7.641145449
7.417657466,7.583326829,7.608948526,7.578253728,7.596502955,7.635029075
7.411072838,7.576997305,7.602167058,7.571812148,7.589977324,7.628067078
7.40529718,7.569141536,7.594560265,7.564534222,7.582190013,7.620284037
7.397025885,7.561180419,7.586128172,7.556406861,7.573984132,7.611681517
7.389716088,7.551671306,7.576894369,7.54746576,7.564554015,7.602282096
7.379800028,7.542126988,7.566860979,7.537699621,7.554716822,7.592089483
7.371012877,7.531026057,7.556061985,7.527155752,7.543705975,7.581136398
7.359511685,7.519962464,7.544492393,7.515814848,7.532302473,7.5694198
7.34931208,7.507342214,7.532200698,7.503738719,7.519783624,7.556986355
7.336295345,7.494833818,7.519170278,7.490896835,7.50688907,7.543822021
7.324740852,7.480762824,7.505455026,7.477356326,7.492931756,7.529978397
7.310297849,7.466898532,7.491053424,7.463101794,7.478635777,7.515456549
7.297470645,7.451465119,7.476002927,7.44818383,7.463328856,7.500291945
7.281671729,7.436325798,7.460312473,7.43259855,7.447713956,7.484495799
7.267668202,7.419631272,7.444027865,7.41640353,7.431159263,7.468111867
7.250612676,7.40331957,7.427152001,7.39958981,7.414329056,7.451145524
7.235522642,7.385462978,7.409732442,7.382216125,7.396626451,7.433642073
7.217309398,7.368081611,7.391774906,7.36427732,7.378685022,7.41560983
7.201225501,7.349165783,7.373323573,7.345827935,7.359938497,7.397090692
7.181968872,7.330829789,7.354399932,7.326879003,7.341001855,7.378108487
7.164999038,7.310971483,7.335033426,7.307470509,7.321329025,7.358690721
7.144804562,7.291792564,7.31525671,7.287624738,7.301510683,7.338872002
7.127065689,7.271114171,7.295096945,7.267378831,7.281034486,7.318677766
7.106041801,7.251208027,7.274583886,7.246753078,7.260451793,7.298139683
7.087650432,7.229831027,7.253752119,7.225791624,7.239294677,7.27729044
7.065918578,7.209322544,7.232628461,7.204511872,7.218074045,7.256158925
7.046988597,7.187371029,7.211248664,7.182959872,7.196361272,7.234778841
7.024676399,7.166387378,7.189642166,7.16115437,7.174631297,7.213181679
7.005324038,7.143987256,7.167839928,7.139138048,7.152489699,7.191396444
6.982550649,7.122652905,7.145876094,7.116933694,7.130376867,7.169459153
6.962903414,7.099935672,7.123782195,7.094584697,7.107938601,7.14739942
6.939793417,7.078378484,7.101589673,7.072111379,7.085572618,7.125250608
6.919967159,7.055469938,7.07932955,7.049556694,7.062964579,7.103041662
6.896655874,7.033821384,7.057040402,7.026947897,7.040478633,7.080813102
6.876766558,7.010847975,7.034739878,7.004314974,7.017828229,7.058580622
6.853370998,6.989230823,7.012477824,6.981696059,6.995347148,7.036395693
6.833551127,6.966324982,6.990268201,6.959117852,6.972787344,7.01427056
6.810191565,6.944862753,6.968157617,6.936615237,6.950436807,6.992253315
6.790560296,6.922150007,6.946163546,6.914218675,6.928093976,6.970359666
6.767357604,6.900965286,6.924327726,6.891957915,6.905998686,6.948632938
6.748032837,6.878569235,6.90267175,6.869867524,6.883997039,6.927092714
6.725109217,6.857782444,6.881231749,6.84797197,6.862279493,6.905776958
6.706198588,6.835819461,6.860029279,6.826305886,6.840736289,6.884705004
6.683678037,6.815550763,6.839105731,6.804898725,6.819518656,6.863920042
6.665293622,6.794138719,6.818473454,6.78377624,6.798552394,6.843432338
6.64328365,6.774495669,6.798174579,6.762968511,6.777944526,6.823285677
6.625535068,6.753748568,6.778225038,6.742504861,6.757669598,6.803493842
6.604143561,6.734839107,6.758659528,6.722408199,6.737781807,6.784093361
6.58713171,6.714863032,6.739497386,6.702711341,6.71830486,6.765101162
6.566471234,6.696792823,6.720771273,6.683434668,6.699244881,6.74655186
6.550287352,6.677686846,6.702494262,6.664605347,6.680665487,6.728456145
6.530460182,6.660554602,6.684706641,6.646251074,6.662534248,6.710856012
6.515199126,6.642417288,6.667411716,6.628389488,6.644951259,6.693752667
6.496298949,6.626312509,6.650652718,6.611050897,6.627840618,6.677190767
6.482048058,6.609234528,6.634428728,6.59424953,6.6113449,6.66116751
6.464162359,6.594244752,6.618786413,6.57801831,6.595344798,6.645730734
6.451004717,6.578309898,6.603715456,6.562362274,6.580020174,6.630868475
6.434218679,6.56451274,6.589267856,6.54732004,6.565210568,6.616633662
