Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37a,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37a,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.540815264,0.9644638929,0.8938700761,2.016498985,0.4296968785,-0.9241072439,1.333160287,-0.2085679581,-1.337279397,-0.3638303749,-0.7560118045,0.1665848314,-0.2646054539,1.118169824,1.018826321,0.4226032868,0.5752644879,-0.5942564148,0.2268356304,0.5563154486,0.486297126
7.541415973,0.9642493198,0.8942968318,2.016884495,0.4295526249,-0.9234541257,1.332224225,-0.1839042174,-1.327235292,-0.3721565856,-0.7536500437,0.1785824284,-0.2575359715,1.122156871,1.040430858,0.4317018555,0.5799334294,-0.5883017211,0.2393841812,0.5554042038,0.492334852
7.54204532,0.9640411135,0.8947202616,2.017307584,0.4294001299,-0.9227573111,1.331318537,-0.160172352,-1.317675968,-0.3803397578,-0.7516432364,0.1900782223,-0.2504234083,1.126022382,1.062957827,0.4412320576,0.5849416584,-0.5822630305,0.2524018138,0.5547797078,0.498525084
7.542702507,0.9638395699,0.8951397425,2.017767676,0.4292395964,-0.9220176885,1.330444579,-0.1374047669,-1.308639824,-0.3883690601,-0.749995187,0.2010651029,-0.2433043008,1.129762255,1.086376231,0.4512205184,0.5902822313,-0.576148388,0.2658728144,0.5544840904,0.5048570997
7.543385919,0.9636449762,0.8955546551,2.018264141,0.4290712382,-0.9212362074,1.329603666,-0.1156352257,-1.300117219,-0.3962323107,-0.7487077402,0.2115171465,-0.2361632406,1.13336984,1.110653218,0.4616132347,0.5959482491,-0.5699672192,0.2797763913,0.5544766666,0.5113245397
7.544094772,0.9634576101,0.8959643848,2.018796295,0.4288952801,-0.9204138766,1.328797067,-0.09489359845,-1.29214253,-0.4039190316,-0.7477836502,0.2214297351,-0.2290349645,1.136841234,1.135754857,0.4724367308,0.6019317047,-0.5637276177,0.2940952848,0.5547996856,0.5179160604
7.544828427,0.9632777401,0.8963683199,2.019363402,0.4287119574,-0.9195517619,1.328026004,-0.0752108681,-1.28470662,-0.4114171255,-0.7472233152,0.2307770277,-0.2219059972,1.140169503,1.161645956,0.4836343507,0.6082245699,-0.5574390478,0.3088075917,0.5554102767,0.5246249014
7.54558575,0.9631056244,0.8967658543,2.019964674,0.4285215161,-0.9186509857,1.327291653,-0.05661388741,-1.277840479,-0.4187169843,-0.7470289369,0.2395573273,-0.2148091503,1.143351767,1.188290439,0.4952329244,0.6148181363,-0.5511099179,0.3238947605,0.5563510946,0.5314393405
7.546365432,0.962941511,0.8971563893,2.020599274,0.4283242122,-0.9177127266,1.326595137,-0.03913076087,-1.271535898,-0.4258069292,-0.7471999131,0.247745084,-0.2077329036,1.146381472,1.215650907,0.5071736845,0.6217034547,-0.5447497606,0.3393339084,0.5575774578,0.5383522418
7.547166496,0.9627856371,0.8975393324,2.021266315,0.4281203116,-0.9167382157,1.325937527,-0.02278537537,-1.265819657,-0.4326776597,-0.7477370832,0.2553412175,-0.20070819,1.149255719,1.243689071,0.5194829277,0.6288708762,-0.5383670918,0.3551051713,0.5591318236,0.5453516312
7.547987705,0.9626382288,0.8979140986,2.02196486,0.4279100903,-0.9157287365,1.325319842,-0.007602611623,-1.260684455,-0.4393181847,-0.7486390048,0.2623206731,-0.1937252221,1.151968522,1.272365636,0.5321002982,0.636310582,-0.5319714677,0.3711848436,0.5609678927,0.5524299125
7.548828948,0.9624995005,0.8982801129,2.022693929,0.4276938332,-0.9146856225,1.324743045,0.006396827237,-1.2561533,-0.4457198797,-0.7499055795,0.2686872739,-0.186813017,1.154517645,1.301640424,0.5450518619,0.6440122278,-0.5255716201,0.387551932,0.5631281291,0.5595749946
7.549686378,0.962369655,0.8986368101,2.023452494,0.4274718348,-0.9136102579,1.324208041,0.01919129882,-1.252219749,-0.4518724872,-0.7515345455,0.2744164991,-0.1799635163,1.15689772,1.331472487,0.5582759695,0.6519651599,-0.5191769226,0.4041820055,0.56556471,0.5667787728
7.550559446,0.9622488829,0.8989836348,2.024239481,0.4272443981,-0.9125040725,1.323715676,0.03076329552,-1.248902186,-0.4577675831,-0.7535241793,0.2795148646,-0.1732037838,1.159106214,1.361819476,0.5717977348,0.6601581301,-0.5127961379,0.4210529445,0.5683196267,0.5740291035
7.551446032,0.9621373621,0.8993200427,2.025053776,0.4270118347,-0.9113685419,1.323266738,0.04109452325,-1.246195374,-0.4633959529,-0.7558716492,0.2839586194,-0.1665274124,1.161138805,1.392638828,0.5855544029,0.6685798073,-0.5064385902,0.4381397333,0.5713436927,0.5813175327
7.55235003,0.9620352577,0.8996455018,2.025894223,0.4267744642,-0.9102051843,1.322861951,0.0501708239,-1.244113394,-0.4687497038,-0.7585739924,0.2877570595,-0.1599593607,1.162993176,1.423886985,0.5995707859,0.6772181868,-0.5001130643,0.4554193054,0.5746786225,0.5886318308
7.553263317,0.961942722,0.8999594952,2.026759626,0.4265326142,-0.9090155612,1.322501978,0.05797751418,-1.242652423,-0.4738207449,-0.7616279378,0.2908874624,-0.1534950127,1.164666318,1.455520896,0.6137833538,0.6860615992,-0.4938289045,0.4728664469,0.5782741496,0.5959635002
7.554192434,0.9618598934,0.9002615174,2.02764875,0.4262866192,-0.9078012715,1.322187419,0.06450413039,-1.241820965,-0.4786011732,-0.765028473,0.2933615163,-0.1471570504,1.166154892,1.487494641,0.6282156618,0.6950967873,-0.4875944928,0.4904568293,0.5821710496,0.6032999522
7.555127663,0.961786897,0.9005510797,2.028560326,0.4260368209,-0.9065639521,1.321918808,0.06973977933,-1.241617277,-0.4830846061,-0.7687723762,0.295158021,-0.1409425026,1.167458058,1.519764715,0.6428041706,0.7043121507,-0.4814193965,0.5081654564,0.5863184132,0.6106329236
7.556075529,0.9617238439,0.9008277085,2.029493049,0.4257835674,-0.9053052756,1.321696612,0.07367720113,-1.242044588,-0.4872633498,-0.7728529109,0.2962910695,-0.1348717566,1.168571909,1.552283826,0.657571668,0.7136933384,-0.4753115767,0.5259669171,0.5907562568,0.6179494612
7.557026974,0.9616708315,0.9010909453,2.030445582,0.4255272124,-0.9040269472,1.321521234,0.07630944889,-1.243102081,-0.491132082,-0.7772661233,0.2967405775,-0.1289434001,1.169496432,1.585007608,0.6724539216,0.7232282181,-0.4692803036,0.5438361387,0.5954324271,0.6252411649
7.557988362,0.9616279423,0.9013403494,2.031416555,0.4252681157,-0.9027307028,1.321393005,0.07763278044,-1.244788801,-0.4946839062,-0.7820042111,0.2965235304,-0.1231755895,1.170228298,1.617888112,0.6874734009,0.7329021162,-0.4633335761,0.5617472265,0.6003866964,0.632495393
7.558950688,0.961595245,0.9015754978,2.032404572,0.4250066416,-0.9014183058,1.321312192,0.07764402082,-1.24710472,-0.4979142738,-0.7870622541,0.2956207103,-0.1175685518,1.170767935,1.650880482,0.7025649806,0.7427024567,-0.4574804199,0.5796751333,0.6055656882,0.6397038363
7.559920075,0.9615727934,0.9017959867,2.033408208,0.424743159,-0.9000915465,1.32127899,0.07634319764,-1.250044388,-0.5008173134,-0.7924316627,0.294052084,-0.1121379215,1.171112725,1.683936262,0.7177515712,0.7526140386,-0.4517284903,0.597593525,0.6110089004,0.6468536765
7.560887363,0.9615606268,0.9020014305,2.034426015,0.4244780407,-0.8987522386,1.321293527,0.07373086541,-1.2536083,-0.5033894394,-0.798106449,0.2917995287,-0.1068854024,1.171263567,1.7170102,0.7329673019,0.7626238029,-0.4460863576,0.6154774546,0.6166617497,0.653936595
7.561858478,0.9615587697,0.9021914642,2.03545652,0.4242116629,-0.8974022162,1.32135586,0.06981069158,-1.257786957,-0.5056255497,-0.8040769518,0.28888583,-0.1018243087,1.171218305,1.750053598,0.748234784,0.7727164405,-0.4405617423,0.633300468,0.6225634128,0.6609403635
7.562825222,0.9615672317,0.9023657426,2.036498231,0.4239444045,-0.8960433317,1.321465974,0.06458707008,-1.262581147,-0.5075229808,-0.8103363739,0.285293696,-0.0969577072,1.170978254,1.783021194,0.7634878521,0.7828782718,-0.4351625533,0.6510376913,0.6286581969,0.6678563745
7.563792548,0.9615860075,0.9025239419,2.037549636,0.4236766467,-0.8946774554,1.321623786,0.05806765935,-1.267977312,-0.5090778924,-0.8168744329,0.2810491573,-0.09229632662,1.170542295,1.815864397,0.7787496917,0.7930937688,-0.4298961265,0.6686626604,0.634984995,0.6746725193
7.564752675,0.9616150771,0.9026657622,2.03860921,0.4234087723,-0.8933064689,1.321829142,0.05025998476,-1.273977724,-0.5102883692,-0.8236832954,0.2761358358,-0.0878450904,1.169912317,1.848538053,0.7939533022,0.8033496485,-0.4247706304,0.6861513776,0.6414874081,0.6813813787
7.565710457,0.9616544056,0.9027909244,2.039675411,0.423141165,-0.8919322654,1.322081818,0.04117571848,-1.280563004,-0.5111514395,-0.8307515339,0.2705824123,-0.08361166887,1.169087027,1.880994011,0.8091222107,0.8136292976,-0.4197922593,0.7034767556,0.6482035009,0.6879699695
7.566657531,0.9617039432,0.9028991726,2.040746686,0.4228742092,-0.8905567468,1.322381519,0.03082620439,-1.287737111,-0.5116666008,-0.8380710066,0.2643739366,-0.07960251662,1.168069753,1.9131875,0.8241896857,0.8239197782,-0.4149689544,0.7206158037,0.6550764306,0.6944315483
7.567600219,0.9617636252,0.9029902743,2.041821473,0.422608289,-0.8891818195,1.32272788,0.01922660684,-1.295475977,-0.5118312562,-0.8456289434,0.2575413792,-0.07582286433,1.166858884,1.945070812,0.8391787903,0.8342041922,-0.4103066529,0.7375414138,0.6621435592,0.7007535943
