Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|PI3,Subsystem #1|CTLs|Vars|PI5,Subsystem #1|CTLs|Vars|PI7,Subsystem #1|CTLs|Vars|QI3,Subsystem #1|CTLs|Vars|QI5,Subsystem #1|CTLs|Vars|QI7,Subsystem #1|CTLs|Vars|PF12,Subsystem #1|CTLs|Vars|PF23,Subsystem #1|CTLs|Vars|PF34,Subsystem #1|CTLs|Vars|PF37a,Subsystem #1|CTLs|Vars|PF62,Subsystem #1|CTLs|Vars|PF65,Subsystem #1|CTLs|Vars|PF76,Subsystem #1|CTLs|Vars|QF12,Subsystem #1|CTLs|Vars|QF23,Subsystem #1|CTLs|Vars|QF34,Subsystem #1|CTLs|Vars|QF37a,Subsystem #1|CTLs|Vars|QF62,Subsystem #1|CTLs|Vars|QF65,Subsystem #1|CTLs|Vars|QF76
7.543114709,0.9737018524,0.801890453,2.02930083,0.4283734011,-0.9070443012,1.391072907,-1.34717157,-1.865324998,-0.09719272788,-1.036086228,-0.4192588232,-0.3846782057,0.9483619865,1.007887401,0.4504715237,0.6573499022,-0.7056752856,0.188295648,0.7623987918,0.4269656546
7.542470554,0.9735095277,0.8020456505,2.028370257,0.4285731315,-0.9080598256,1.390200549,-1.31992133,-1.851034412,-0.1018448993,-1.026272027,-0.404780801,-0.3847200051,0.9518999121,0.9859973366,0.4396347394,0.6490540717,-0.7073048784,0.1774387658,0.7542772952,0.4238016087
7.541853598,0.9733101704,0.8022163508,2.027458731,0.4287662238,-0.9090469125,1.389296868,-1.291888877,-1.836480196,-0.1067865739,-1.016433363,-0.3899414583,-0.3845179101,0.955571728,0.965048483,0.4291976299,0.6409815255,-0.7086986846,0.1671159667,0.7461725553,0.4208806492
7.541265134,0.9731040661,0.8024023437,2.026567566,0.4289524108,-0.9100041047,1.38836317,-1.26311459,-1.821620484,-0.1120095809,-1.006580326,-0.3747482895,-0.3840207848,0.9593703028,0.9450693193,0.4191847326,0.6331418541,-0.7098539996,0.1573412127,0.7380843983,0.41820681
7.540705005,0.9728915091,0.8026033983,2.025698046,0.4291314355,-0.9109299874,1.387400805,-1.23363858,-1.806537892,-0.1175075979,-0.9967296224,-0.3592350502,-0.3832809592,0.9632921265,0.9260887971,0.4096009141,0.6255476782,-0.7107704631,0.1481284705,0.7300367383,0.4157839258
7.540174633,0.9726728021,0.8028192612,2.024851424,0.4293030512,-0.9118231917,1.386411162,-1.203502874,-1.791191339,-0.123271861,-0.9868913054,-0.3434112565,-0.3822483553,0.9673296442,0.9081325884,0.400467865,0.6182078223,-0.7114456536,0.1394899573,0.7220274089,0.4136150531
7.539673844,0.972448256,0.8030496583,2.024028922,0.4294670217,-0.9126823947,1.385395664,-1.172749576,-1.775663785,-0.1292951485,-0.9770819255,-0.3273103219,-0.3809756434,0.9714789993,0.8912266634,0.3917908598,0.6111342531,-0.7118800821,0.1314383042,0.7140820143,0.4117035707
7.539204752,0.9722181891,0.8032942938,2.023231725,0.429623122,-0.9135063212,1.384355776,-1.141422388,-1.75991518,-0.1355678899,-0.9673112928,-0.3109438453,-0.3794141434,0.9757321239,0.8753939586,0.3835882164,0.6043350914,-0.7120720547,0.1239838585,0.7061963239,0.4100519024
7.538766203,0.971982927,0.8035528516,2.022460985,0.4297711379,-0.9142937468,1.38329299,-1.109565117,-1.744028423,-0.1420826165,-0.9575963728,-0.2943445374,-0.3776161915,0.9800853431,0.8606575671,0.375866645,0.5978215992,-0.7120225062,0.1171380416,0.6983978791,0.4086624491
7.538360113,0.9717428018,0.8038249957,2.021717816,0.4299108666,-0.9150435002,1.382208833,-1.077222906,-1.727964602,-0.1488288328,-0.9479466158,-0.2775260548,-0.3755348104,0.9845300719,0.8470371047,0.3686407886,0.5916011618,-0.7117304136,0.110909231,0.6906803255,0.4075370372
7.537985642,0.971498152,0.8041103704,2.021003292,0.4300421171,-0.9157544616,1.381104862,-1.044440931,-1.711806349,-0.1557982688,-0.9383784521,-0.260520418,-0.373222366,0.9890621921,0.8345526241,0.361917487,0.5856841855,-0.7111977022,0.1053073535,0.6830725448,0.4066776559
7.537644997,0.9712493218,0.8044086003,2.020318449,0.4301647101,-0.9164255659,1.379982661,-1.011265637,-1.695515595,-0.1629800087,-0.9289013423,-0.2433430568,-0.3706332145,0.9936729374,0.8232207186,0.3557084195,0.5800772603,-0.710423657,0.1003389086,0.6755662785,0.4060851228
