Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.429072518,7.602678745,7.629335208,7.594392846,7.615982592,7.657433871
7.431498095,7.604788733,7.631188902,7.596735994,7.617990883,7.659072847
7.433462913,7.605763746,7.632177689,7.598193375,7.619114605,7.659849107
7.434189405,7.606094186,7.632271349,7.598752757,7.619341077,7.659732611
7.434435921,7.605320455,7.631493266,7.598418353,7.618677848,7.658747129
7.43346129,7.603872647,7.629828738,7.597193278,7.61712379,7.656878124
7.43199328,7.601359618,7.627293671,7.595074361,7.614682914,7.654141925
7.429317378,7.598138782,7.623877032,7.592068544,7.611353924,7.650527764
7.426147878,7.593901912,7.619600861,7.588178617,7.607150864,7.64605782
7.421789772,7.588930698,7.614455623,7.583413097,7.602069953,7.640723142
7.416938671,7.582995602,7.608464576,7.577775989,7.59613054,7.634546823
7.410929303,7.576309113,7.601626259,7.571284194,7.589333045,7.627528195
7.404426767,7.568714662,7.593959928,7.563937721,7.581696684,7.619686227
7.396806321,7.560356002,7.585472321,7.555761022,7.573226089,7.611028452
7.388697761,7.551151889,7.576180881,7.546753303,7.563942802,7.601572
7.379507601,7.541170434,7.566094334,7.536940691,7.553849472,7.591326578
7.369854349,7.530420759,7.555242091,7.52633404,7.542983535,7.580320759
7.359152095,7.518882028,7.543622876,7.514950317,7.531333815,7.568554984
7.348011969,7.506650986,7.531274789,7.502807956,7.518950163,7.556065703
7.335867624,7.493629469,7.518197854,7.489926541,7.505819092,7.542855355
7.323313413,7.47999585,7.504433321,7.476326868,7.491997393,7.528962911
7.309806642,7.465577493,7.489985063,7.462032798,7.477471728,7.514395101
7.295917293,7.450626455,7.474889946,7.447060214,7.462298021,7.499186201
7.28113427,7.434901373,7.459161052,7.431443271,7.446468758,7.48335231
7.265993073,7.418726694,7.442829689,7.415191795,7.430037963,7.466922068
7.250024439,7.40179109,7.425916906,7.398347691,7.413002237,7.449919515
7.233736715,7.384501823,7.408458589,7.380925919,7.39542416,7.432377676
7.216676988,7.36645791,7.390464839,7.362957079,7.37728544,7.414310097
7.19934217,7.34815909,7.371985147,7.344470147,7.358666226,7.395762729
7.18129956,7.329119498,7.353023316,7.325489142,7.339538118,7.376743485
7.163022553,7.309923171,7.333634896,7.30604975,7.31999115,7.357303721
7.144106868,7.29000599,7.313823354,7.286174759,7.299992746,7.337451503
7.124998939,7.270029122,7.293643705,7.265900453,7.279636291,7.31723723
7.105327766,7.249355966,7.273104316,7.245253859,7.258890408,7.296674135
7.085504355,7.228719419,7.252254638,7.22426603,7.237846578,7.275806872
7.065195573,7.207413314,7.231110625,7.202971538,7.216477412,7.254656286
7.04477354,7.186242529,7.209716807,7.181396805,7.194873083,7.233262059
7.023950731,7.164430465,7.188095408,7.159582187,7.173008827,7.211651276
7.00305041,7.142850881,7.166283118,7.137547322,7.150970888,7.189855853
6.98182846,7.12065585,7.144307568,7.115336874,7.128735933,7.167908184
6.960580148,7.098800273,7.122209792,7.092975791,7.106398465,7.145844329
6.939083154,7.076351483,7.100009171,7.070499874,7.08392322,7.123688846
6.917609633,7.054347113,7.077753442,7.04794138,7.061414949,7.101483872
6.895958296,7.03177193,7.055455123,7.025328946,7.038828118,7.079247749
6.874383396,7.009744679,7.033167485,7.002700831,7.016276528,7.057027507
6.852704483,6.98717275,7.010900818,6.980082782,6.993708837,7.034839721
6.831148275,6.9652489,6.988707834,6.957513526,6.971241917,7.01273046
6.809563166,6.942805405,6.966597749,6.93501688,6.948819801,6.990715486
6.788145309,6.921108351,6.944623014,6.912632016,6.926562601,6.968840384
6.766775959,6.898918853,6.922794615,6.890384073,6.904412749,6.947122775
6.745618648,6.877571897,6.901161468,6.868309101,6.882490144,6.925604571
6.724580963,6.855756025,6.879733873,6.846431586,6.860733407,6.904302917
6.703798741,6.834876544,6.858559793,6.82478628,6.839264438,6.883258414
6.683202843,6.813548932,6.837647262,6.803396101,6.818016735,6.862486336
6.662911962,6.793254427,6.817049651,6.782300649,6.797120548,6.842032142
6.642874333,6.772532108,6.796768375,6.761516605,6.776499801,6.821904977
6.623180744,6.752930977,6.776855766,6.74108249,6.756286669,6.802148854
6.603810354,6.732922587,6.757313489,6.721015241,6.736402447,6.782773456
6.584809773,6.714116803,6.738188069,6.701347723,6.71697631,6.763816779
6.566213632,6.694928865,6.719490244,6.682105578,6.697935853,6.745297527
6.548015184,6.677023681,6.701257111,6.663312965,6.679403646,6.72724436
6.530288962,6.658753181,6.683499729,6.644995218,6.661304872,6.709676296
6.512982364,6.641841358,6.666251745,6.627173791,6.643761266,6.692618417
6.496216078,6.624579548,6.649524966,6.609873698,6.626696168,6.676090636
6.479891476,6.608752098,6.633353109,6.593117865,6.610233968,6.660117856
6.464174009,6.592586272,6.61774298,6.576925015,6.594290547,6.644715256
6.448920133,6.577927261,6.602731085,6.56132173,6.578995367,6.629910167
6.434329571,6.562938379,6.588317422,6.546319638,6.56425534,6.615711365
6.420225855,6.54952419,6.574541753,6.531948959,6.550205365,6.602148977
6.406837346,6.535786922,6.561397792,6.518214113,6.536743788,6.589225945
6.393948166,6.523682872,6.548923854,6.505145102,6.524006264,6.57697056
6.381830104,6.511265222,6.537116129,6.492747626,6.511891517,6.565388449
6.370229555,6.500538196,6.52601055,6.481050259,6.500534822,6.55450534
6.359444762,6.489502278,6.515599639,6.470054622,6.489829376,6.544323369
6.349186558,6.480204529,6.505914662,6.459784632,6.479907449,6.534863496
6.339791246,6.470605048,6.496953788,6.450247437,6.470666183,6.526133456
6.330923052,6.462783099,6.488736024,6.441455104,6.462227314,6.518142131
6.322964909,6.45466422,6.481267662,6.433422368,6.45449441,6.510905154
6.315541013,6.448364691,6.47456352,6.426157319,6.447586537,6.504427275
6.309060846,6.441766805,6.468626475,6.419671223,6.441402341,6.498720779
6.303108152,6.437016962,6.463463527,6.413964636,6.436054525,6.493782674
6.298140183,6.431970415,6.459086337,6.409057023,6.431449114,6.489633804
6.293696616,6.428800665,6.455494901,6.404942437,6.427693032,6.486264362
6.290268362,6.425328767,6.45269919,6.401637936,6.424689346,6.483693425
6.287353658,6.423758129,6.450698456,6.399137738,6.422545397,6.48191041
6.2854795,6.421874625,6.449496326,6.397451617,6.421156829,6.480928279
6.284111984,6.421911986,6.449095254,6.396577833,6.420635154,6.480739374
6.283806026,6.421628012,6.449496095,6.396522121,6.420872114,6.481354043
6.283992196,6.423276216,6.450697791,6.397280439,6.421976684,6.482761094
6.285253389,6.424589532,6.452697696,6.398854203,6.423836322,6.484967486
6.286997719,6.427844059,6.455497865,6.401243068,6.42656369,6.48796495
6.289826775,6.430750973,6.459091208,6.404442858,6.430041142,6.491756168
6.293115598,6.435595705,6.463474253,6.408448914,6.434376272,6.496327367
6.297496206,6.440077758,6.468641006,6.413257393,6.43945227,6.501682317
6.302319502,6.446494443,6.4745888,6.41886433,6.445377477,6.507807955
6.308232252,6.452528889,6.481304739,6.425259376,6.452028215,6.514701362
6.314563456,6.460486704,6.488787001,6.432438986,6.45951354,6.522350187
6.321987748,6.468046424,6.497023024,6.440392845,6.467710181,6.530751846
