Time,Subsystem #1|CTLs|Vars|VMrms1,Subsystem #1|CTLs|Vars|VSrms1,Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms10,Subsystem #1|CTLs|Vars|Vrms13,Subsystem #1|CTLs|Vars|Vrms16,Subsystem #1|CTLs|Vars|Vrms19,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms7
0.00645,7.588442083,79.67873129,7.586328333,7.517408121,7.544366921,7.553858476,7.577682327,7.548144704,7.558437844
0.0066,7.587880721,79.67865787,7.586219512,7.519949981,7.548793061,7.556899389,7.580150435,7.550498369,7.560845057
0.00675,7.586994266,79.6784006,7.585774432,7.520285069,7.550670445,7.557559935,7.580338916,7.550691208,7.561030017
0.0069,7.585801528,79.67805863,7.585006271,7.518409947,7.549974279,7.555829563,7.578243155,7.548718778,7.558989133
0.00705,7.584317423,79.67761595,7.583924507,7.514352286,7.546717418,7.551735226,7.573892958,7.544612335,7.554751499
0.0072,7.582566095,79.67706252,7.582548134,7.508171982,7.5409497,7.545336284,7.567351972,7.538430248,7.548379402
0.00735,7.580571791,79.67638764,7.580896608,7.499941773,7.532739371,7.536709461,7.558698641,7.530248481,7.539949065
0.0075,7.57836181,79.67557989,7.578992836,7.489775639,7.522200011,7.525974025,7.548052086,7.520179539,7.529576994
0.00765,7.575958537,79.67462747,7.576855283,7.477803306,7.509470712,7.513269054,7.535551451,7.508352671,7.517397085
0.0078,7.573387262,79.67352505,7.574505873,7.464163352,7.494705182,7.498747243,7.521345714,7.494910124,7.503554559
0.00795,7.57067943,79.67227644,7.571973236,7.449055904,7.478117244,7.482620374,7.505640741,7.48004658,7.488250629
0.0081,7.567855797,79.67075492,7.56927574,7.432642842,7.459886153,7.465059498,7.488604781,7.463920457,7.471648866
0.00825,7.564974675,79.66918165,7.566470536,7.415150052,7.440258138,7.446305139,7.47047285,7.44675469,7.453977689
0.0084,7.562067907,79.66747175,7.563588247,7.396801229,7.419480049,7.426593587,7.451473763,7.428766147,7.435461503
0.00855,7.559182516,79.66575525,7.56067568,7.377836063,7.39781656,7.406176367,7.431852347,7.410186561,7.416338746
0.0087,7.556357987,79.66410266,7.557772651,7.358481314,7.375524818,7.385297409,7.41184218,7.391237533,7.396837705
0.00885,7.553634818,79.66256306,7.554920652,7.339004427,7.35290028,7.364237042,7.391715333,7.372177159,7.377224453
0.009,7.551043926,79.66116555,7.552152253,7.319628957,7.330214629,7.343245338,7.371708214,7.353228316,7.357728869
0.00915,7.548619301,79.65992678,7.549503696,7.300601102,7.307756318,7.322590245,7.352077016,7.3346374,7.338601619
0.0093,7.546390246,79.65885339,7.547007121,7.282166146,7.285816473,7.302541108,7.333077108,7.316645864,7.320090473
0.00945,7.544381543,79.6579421,7.544690731,7.264531019,7.26465274,7.28333054,7.314926453,7.299459361,7.302407404
0.0096,7.542610093,79.65709463,7.54257534,7.247932399,7.244544504,7.26521325,7.297865729,7.283306585,7.285787814
0.00975,7.541108739,79.65644905,7.540698163,7.232579851,7.225744265,7.248418603,7.282111367,7.268393436,7.270441225
0.0099,7.539888199,79.65596755,7.539074711,7.218654106,7.208472695,7.233142389,7.267846121,7.254889726,7.256546147
0.01005,7.53896556,79.65564159,7.5377272,7.206353485,7.192968021,7.21959719,7.255270044,7.242986256,7.244297969
0.0102,7.538350513,79.65545731,7.536670728,7.195834191,7.179423667,7.207950372,7.24453731,7.232829324,7.233847449
0.01035,7.538046912,79.65539927,7.535914784,7.187216468,7.168001541,7.198339162,7.235774093,7.224534566,7.22531565
0.0105,7.538061158,79.65545182,7.535471533,7.180633795,7.158869531,7.190908979,7.229113247,7.218229228,7.218832201
0.01065,7.538391,79.65560159,7.535344551,7.176157634,7.152141858,7.185750025,7.224632479,7.213985787,7.214473155
0.0108,7.539030971,79.65584273,7.535534204,7.173843992,7.147905658,7.182928555,7.222390968,7.211858614,7.212294421
0.01095,7.53995861,79.65602149,7.536023664,7.173726441,7.146228097,7.182488698,7.222422403,7.211882521,7.212328598
0.0111,7.541175094,79.65630616,7.536819889,7.175825544,7.147151577,7.184459907,7.224750702,7.214077884,7.214598787
0.01125,7.542662698,79.65668973,7.53791046,7.180092903,7.150644659,7.188793291,7.229321855,7.218394882,7.219053555
0.0114,7.544413331,79.65722429,7.539292359,7.186503104,7.15668886,7.195462248,7.23610744,7.224805455,7.225663456
0.01155,7.546410048,79.65793781,7.54095335,7.194984301,7.165214699,7.20438595,7.245027413,7.233234234,7.234350719
0.0117,7.548629784,79.65884053,7.54287463,7.205425989,7.17610489,7.2154438,7.255960448,7.243567135,7.244998806
0.01185,7.551045616,79.65992639,7.545033074,7.217703736,7.189231671,7.228504166,7.268777327,7.255681764,7.257481068
0.012,7.553625848,79.66117816,7.54740028,7.231663519,7.204427305,7.243401805,7.283315766,7.269426129,7.271641155
0.01215,7.556335402,79.66257231,7.549943882,7.247121389,7.221497006,7.259943571,7.299386806,7.284622042,7.287293568
0.0123,7.55913322,79.66399239,7.552624955,7.263877655,7.24021881,7.277917371,7.316784991,7.301074654,7.304237669
0.01245,7.561991896,79.66550755,7.555417609,7.28171574,7.260352546,7.297091703,7.335286387,7.318572601,7.32225586
0.0126,7.564874421,79.66708276,7.558285679,7.300399936,7.281630169,7.31721196,7.354645878,7.336884307,7.341110504
0.01275,7.567746177,79.66868236,7.561194741,7.319695419,7.303782114,7.33802609,7.374620809,7.355780932,7.36056355
