Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.543428444,7.253305881,7.254667462,7.199711304,7.229990254,7.26633858
7.54416467,7.257662759,7.259008873,7.204161618,7.234665316,7.270788603
7.544925525,7.261889107,7.263537192,7.208815755,7.239172688,7.275422833
7.545707791,7.266599195,7.268250695,7.213676782,7.244238682,7.280249951
7.546512521,7.271174727,7.273140948,7.218731241,7.249126542,7.285250605
7.547336515,7.276214101,7.278201947,7.223977708,7.25455757,7.290429524
7.548180565,7.281111565,7.283425725,7.229402921,7.259796658,7.29576756
7.549041488,7.286451312,7.288804579,7.235003874,7.26556159,7.301267933
7.549916819,7.291640553,7.29433056,7.240767309,7.271119645,7.306911369
7.550807055,7.297249333,7.299995078,7.246689394,7.277184842,7.312700363
7.551712325,7.302701291,7.305792712,7.252759097,7.283030337,7.318617915
7.552630163,7.308550615,7.311713321,7.258971073,7.28936459,7.324665164
7.553559389,7.314232683,7.317748736,7.265311469,7.295462484,7.330822256
7.554499098,7.320287496,7.323889307,7.271775543,7.302028041,7.337090925
7.555447531,7.326166298,7.330127512,7.278349657,7.30834217,7.343451841
7.556402749,7.332392744,7.336453051,7.285028867,7.315102275,7.349906182
7.557364785,7.338433275,7.342857578,7.29179806,7.321594849,7.356433715
7.558330669,7.344795575,7.349331249,7.29865368,7.328510887,7.363036149
7.559300206,7.350963053,7.355865615,7.305579364,7.335144156,7.369693065
7.560270692,7.357423907,7.362448789,7.312570284,7.342175653,7.376404254
7.561242442,7.363681921,7.369075044,7.319612158,7.348910248,7.383151836
7.562212014,7.370204964,7.37573008,7.32669827,7.356017653,7.389933388
7.563179794,7.376515407,7.382408506,7.333814147,7.362812484,7.39673124
7.564142045,7.383061235,7.389094672,7.340952287,7.369953212,7.403541726
7.56510048,7.389388608,7.395788044,7.348102399,7.376769627,7.410351867
7.566049744,7.395921203,7.402468088,7.355252488,7.383904398,7.417153283
7.566992516,7.402226171,7.4091354,7.362393227,7.390700001,7.423934065
7.567923115,7.40870792,7.415770224,7.369513289,7.397787801,7.430686606
7.568844668,7.41495292,7.422372377,7.376602785,7.404522007,7.437398273
7.569751301,7.421347417,7.428924252,7.383652386,7.4115232,7.444063508
7.57064533,7.427496073,7.435423174,7.390649689,7.418156479,7.450667342
7.571522319,7.43376513,7.441852512,7.397586263,7.425029599,7.457205064
7.572384081,7.439780858,7.448210072,7.404450305,7.431522346,7.46366232
7.573226053,7.445889108,7.454480087,7.411234229,7.438228792,7.470035138
7.574049802,7.451737408,7.460660391,7.417926208,7.444543599,7.476309292
7.574852211,7.457649484,7.466734345,7.424517723,7.451044816,7.482479903
7.575629197,7.463292485,7.472697838,7.430995071,7.457140729,7.488530867
7.576384841,7.468971683,7.478537835,7.43735359,7.463397048,7.494460714
7.577115967,7.474381633,7.484255371,7.443583948,7.46924355,7.50025889
7.577821102,7.47980037,7.489832679,7.449677714,7.475224526,7.505918994
7.578500003,7.484942273,7.495267634,7.455621794,7.480783729,7.511427113
7.579151211,7.490067255,7.500547708,7.46141327,7.486453143,7.516782353
7.579775092,7.49491401,7.505671697,7.467039588,7.491695351,7.521971756
