Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms5,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.544123044,7.29514609,7.297968492,7.260081811,7.259208153,7.278481256,7.310426104
7.542068847,7.279312738,7.281678853,7.243811202,7.239437084,7.260703968,7.293698832
7.540258839,7.264775889,7.266723552,7.228851739,7.221046556,7.244314964,7.278340376
7.538713648,7.251708239,7.253279126,7.215378797,7.204256385,7.229508191,7.264532123
7.53744951,7.240267801,7.241510081,7.203556528,7.189275714,7.216467489,7.252444323
7.536482154,7.230618025,7.23158381,7.193556815,7.176312168,7.205375589,7.242247523
7.535817606,7.222873281,7.223618563,7.185496051,7.165525291,7.196367541,7.234064168
7.535459377,7.217129312,7.21771273,7.179476449,7.157052731,7.189557329,7.227995678
7.535412372,7.213471337,7.213954673,7.175588401,7.151017237,7.185044279,7.224131688
7.535670284,7.211945914,7.212392614,7.173883166,7.147500095,7.182888784,7.222522645
7.536239887,7.212569824,7.21304401,7.174375881,7.146542459,7.18311365,7.223186278
7.537114285,7.215349622,7.215915455,7.177075295,7.148177139,7.1857342,7.226130361
7.538288423,7.220259229,7.220978634,7.181955492,7.152391458,7.190726258,7.231324381
7.539749724,7.227231375,7.228165748,7.188950952,7.159130963,7.198022026,7.238700142
7.541483489,7.236194396,7.237401034,7.197986654,7.16832418,7.207545144,7.248179734
7.543468009,7.247032909,7.248567938,7.208951193,7.179854102,7.219172536,7.259641808
7.545680241,7.259613902,7.261528322,7.221708153,7.193577873,7.23275884,7.272943408
7.548094242,7.273777083,7.276117751,7.236098007,7.209319234,7.248132173,7.287917466
7.550676612,7.289333514,7.292142635,7.251926641,7.226870334,7.265087203,7.304365515
7.553393899,7.306092885,7.309404247,7.268999396,7.246009868,7.283413858,7.322082415
7.556217378,7.323838022,7.327678909,7.287092941,7.266491981,7.302875768,7.340840046
7.559103943,7.342327392,7.346718944,7.305961142,7.288037105,7.323207842,7.360383331
7.562016867,7.361332238,7.366286779,7.325371787,7.310374521,7.344155562,7.380468817
7.564915406,7.380599264,7.386122661,7.345065088,7.33320981,7.365443408,7.400829857
7.567762496,7.399876458,7.405966593,7.36478441,7.356237535,7.386787619,7.421198011
7.570520095,7.418907246,7.425554128,7.384267716,7.379155074,7.40790699,7.44130458
7.573153642,7.437448169,7.444635473,7.403267384,7.401664446,7.428530231,7.460889677
7.575626662,7.4552594,7.4629617,7.421533821,7.423475977,7.448390612,7.47970069
7.577891185,7.472087167,7.480274065,7.438814556,7.444284909,7.467207114,7.497471051
7.579929731,7.487753929,7.496388764,7.454921042,7.463864507,7.484780552,7.51401277
7.581711768,7.502021906,7.511061891,7.469609529,7.481925296,7.500846268,7.529073663
7.583225166,7.514729255,7.52412709,7.482711659,7.498258042,7.515221695,7.542485117
7.58445613,7.525725245,7.535427727,7.494070122,7.512665104,7.527733741,7.554085992
7.585388264,7.534848047,7.544798876,7.503519379,7.524943046,7.538202265,7.563706111
7.586011829,7.542002304,7.552143702,7.510961778,7.534958753,7.546516264,7.571246789
7.586315987,7.547095471,7.557366918,7.516303448,7.542584058,7.552569178,7.576610859
7.586293042,7.550060513,7.560400094,7.519473248,7.547723031,7.556282213,7.579726412
7.585936781,7.550868218,7.561214353,7.520440908,7.55031981,7.557617686,7.580564426
7.585257132,7.549507732,7.559799244,7.519193358,7.550343802,7.556558659,7.579114047
7.584265133,7.54599989,7.556175627,7.515746532,7.54780007,7.553124002,7.575396864
7.582976438,7.540400886,7.55040208,7.510157956,7.542733776,7.547369684,7.569473491
7.581406463,7.532777833,7.542545905,7.502493523,7.535205771,7.539363857,7.561411321
7.579572968,7.523225092,7.532706985,7.49285313,7.525310835,7.529207378,7.551315262
7.577496737,7.511884783,7.521029498,7.481375445,7.513196274,7.517050426,7.539332009
7.575199062,7.498885796,7.507643808,7.468189577,7.498997525,7.50302837,7.525596727
7.572710097,7.484399272,7.492730575,7.453476761,7.482902534,7.487329863,7.510292607
7.57005576,7.46861641,7.476483398,7.437424454,7.465124154,7.47016024,7.493619716
7.567279532,7.451724757,7.459097467,7.420226251,7.44587459,7.451723107,7.475777302
7.56441643,7.433944118,7.440797809,7.402103248,7.425396747,7.432256089,7.456998563
7.561512506,7.415512628,7.421828891,7.38329934,7.403961252,7.412016929,7.437531197
7.558607152,7.396650709,7.402418113,7.364038132,7.381823082,7.391246684,7.417608293
7.555738672,7.377603893,7.382817807,7.344572331,7.359270619,7.370216356,7.397490077
7.552942196,7.358604351,7.363268032,7.325138901,7.336580908,7.349182555,7.377422814
7.550254522,7.339902393,7.344023678,7.305990906,7.31404556,7.328419775,7.357668049
7.547710115,7.321723588,7.325318946,7.287363168,7.291941979,7.308181872,7.338467598
7.545339694,7.304296245,7.307387238,7.269484994,7.270546262,7.288720796,7.320059486
7.54316383,7.287836988,7.290453633,7.252581038,7.250121943,7.270278835,7.302673905
7.54122032,7.272560646,7.274736557,7.236868457,7.230935772,7.253096079,7.286535817
7.539526964,7.258651395,7.260426921,7.222539619,7.213222825,7.237382039,7.271842336
7.538102969,7.246289241,7.247709016,7.209779704,7.197210877,7.223339741,7.258781698
7.53696409,7.235631103,7.236744914,7.198753329,7.183107951,7.211151549,7.247521822
7.536123581,7.226808894,7.227670414,7.189596873,7.171090707,7.200967293,7.238202047
7.535592483,7.219942438,7.220608895,7.182436016,7.161320089,7.192926677,7.230947864
7.535377328,7.215120176,7.215651084,7.177363824,7.153923451,7.187133019,7.225854483
7.53547817,7.212401926,7.212861008,7.174440904,7.148997776,7.183659781,7.222986259
7.535883709,7.211831582,7.212282566,7.173713381,7.146615282,7.182561701,7.222388175
7.536595236,7.213430414,7.213936958,7.175203543,7.146826044,7.183868017,7.224083063
7.537602937,7.217159802,7.217782829,7.178869935,7.149606573,7.187544045,7.228030191
7.538904695,7.223000837,7.223803009,7.184698444,7.154954373,7.19357379,7.234209503
7.540488954,7.230880376,7.231921279,7.192617732,7.162804439,7.201880868,7.242544019
7.5423392,7.24069573,7.242033322,7.20252582,7.173053625,7.212356678,7.252924492
7.544433738,7.252329842,7.254019395,7.214305996,7.185579895,7.224875881,7.265229467
7.546746282,7.265638995,7.267729561,7.227814448,7.200228287,7.239283188,7.279304579
7.549243684,7.28044614,7.28298253,7.242869541,7.216804297,7.255387404,7.294963361
7.551889573,7.296566565,7.299587384,7.259282027,7.235099204,7.272986919,7.31201045
7.55465392,7.313792545,7.317329574,7.276841268,7.254873624,7.291852338,7.330225122
7.557503293,7.331893236,7.335971102,7.295307777,7.275861656,7.311730667,7.349362506
7.560403101,7.350647829,7.355283456,7.314457284,7.297803427,7.332377283,7.369187763
7.563314418,7.369803402,7.375004925,7.334028358,7.32040171,7.353513697,7.389432538
7.56619674,7.389101597,7.394869903,7.3537579,7.343353139,7.374856007,7.409825748
7.56901265,7.408309418,7.414638968,7.373411131,7.366376009,7.396143916,7.430120142
7.571720328,7.42716086,7.434037759,7.39271568,7.38915437,7.417085158,7.450034052
7.574281852,7.445406732,7.452811464,7.411417808,7.411387865,7.437403107,7.469306714
7.576660893,7.462823953,7.470729986,7.429289975,7.432804566,7.456849032,7.487701032
7.578831788,7.479172032,7.48754628,7.446083549,7.453108777,7.47515472,7.504964403
7.580763784,7.494240204,7.503043548,7.461581734,7.472041633,7.492086228,7.520874392
7.58244044,7.507858809,7.517047199,7.475609422,7.489385912,7.507450438,7.535251761
7.583838712,7.5198299,7.529352327,7.487961287,7.504892316,7.521024864,7.547885448
7.584942948,7.530014656,7.539819896,7.498497403,7.518380411,7.532653351,7.558633556
7.585740871,7.538291853,7.548322337,7.507089778,7.529686565,7.542195579,7.567363227
7.586220089,7.544543036,7.55473901,7.513614678,7.538659038,7.549519163,7.573952711
7.586377241,7.548704922,7.559004494,7.518005183,7.545199614,7.554547994,7.578334266
7.586207813,7.550725327,7.561066575,7.520207086,7.549228764,7.557219396,7.580453482
7.585707915,7.550568963,7.560889677,7.520185239,7.550687874,7.557490878,7.580274638
7.584893093,7.54826106,7.558499532,7.517964938,7.54958291,7.555384021,7.577824016
7.583769224,7.54382235,7.553918733,7.513564873,7.545922318,7.550917528,7.57312429
7.582348572,7.537314667,7.547210359,7.507046502,7.539756045,7.544152719,7.566240746
7.580650245,7.52883076,7.538469285,7.498500999,7.531174835,7.535187272,7.557270076
7.578695922,7.518474428,7.527802443,7.488035737,7.520283969,7.524132249,7.546324577
7.576511218,7.506382447,7.515351519,7.475786692,7.507228017,7.511131867,7.533548154
7.57412521,7.492706584,7.50127179,7.461908084,7.492167839,7.496348416,7.5190995
7.571568419,7.477630731,7.48575239,7.446586861,7.475307102,7.479981214,7.503172836
7.568861777,7.461330192,7.468974352,7.43000085,7.456844343,7.462220883,7.485955569
7.566047021,7.44402788,7.451167137,7.412376679,7.437028469,7.443308831,7.467681725
7.563162196,7.425937254,7.432549963,7.393931087,7.416100187,7.42347531,7.448574398
7.560249658,7.407289329,7.413359921,7.374896639,7.394325191,7.402974143,7.428879341
7.557351918,7.388319287,7.393839742,7.355516908,7.371977334,7.382061787,7.408844315
7.554508545,7.369271153,7.37423942,7.336041234,7.349341427,7.361007107,7.388725948
7.551756532,7.350376097,7.354797316,7.316705063,7.326689697,7.340064243,7.368768507
7.549131145,7.331879337,7.335765518,7.297759529,7.304314708,7.319504487,7.349230856
7.546661831,7.314010259,7.317379535,7.279439954,7.282492693,7.299583368,7.330355761
7.544368612,7.29698909,7.299866798,7.261972999,7.261495305,7.280546127,7.312374015
7.542289176,7.281029155,7.283446289,7.245574563,7.241585779,7.262631479,7.295512618
7.540450519,7.266340126,7.268333465,7.230460838,7.22302638,7.246077322,7.279993557
7.538874055,7.253100942,7.254711864,7.216812506,7.206046183,7.231085316,7.266003653
7.537577752,7.241475861,7.242751398,7.204801909,7.190857399,7.217843706,7.253719168
7.536576134,7.231620008,7.232612158,7.194590432,7.177661925,7.206529117,7.243304607
7.535877069,7.223657669,7.224421072,7.186308841,7.166629063,7.197285187,7.234889422
7.535485532,7.217686777,7.218281214,7.180059578,7.157897808,7.190227608,7.228580538
7.535405295,7.213793033,7.214280501,7.175933876,7.151590642,7.185456578,7.224467193
7.535631361,7.212029442,7.212473219,7.173987967,7.147791941,7.183036693,7.222605387
7.536166375,7.212411981,7.21287679,7.17423692,7.146549255,7.182995755,7.22301408
7.53700557,7.21495136,7.215501036,7.176694212,7.147895145,7.185349684,7.225703707
7.538146144,7.219625914,7.220324013,7.181334109,7.151824828,7.190079632,7.230650184
7.539575172,7.226373487,7.227280415,7.188095817,7.158285297,7.197122366,7.237788073
7.541278056,7.235119195,7.236293745,7.196904943,7.167207566,7.206399672,7.247038227
7.543235331,7.245755532,7.247253122,7.207656021,7.178481771,7.217796845,7.258287099
7.545424497,7.258148919,7.260021516,7.220214777,7.191965763,7.231170728,7.271392361
7.547819155,7.272143712,7.274437856,7.234426343,7.207488878,7.246351276,7.286190047
7.550386559,7.28755639,7.290314614,7.250103961,7.224849227,7.26314122,7.302487284
7.553088693,7.304186685,7.307445624,7.26704531,7.243819809,7.281321352,7.320071057
7.555900849,7.321830772,7.325618442,7.285039265,7.264165428,7.300667116,7.338725574
7.55878086,7.340248391,7.344584941,7.303838643,7.285608054,7.320915711,7.358194623
7.561691164,7.359204576,7.364103359,7.323203826,7.30787153,7.341807741,7.378230229
7.564593252,7.37845242,7.38391898,7.342879688,7.330665715,7.363069188,7.39857062
7.56744852,7.397738022,7.403770185,7.362607166,7.35368574,7.384419893,7.418947285
7.5702192,7.416805795,7.423394292,7.382125257,7.37662809,7.405576869,7.439091303
7.572869583,7.435418127,7.442545696,7.401192286,7.39920153,7.426274068,7.458749384
7.575360375,7.453316966,7.460959913,7.419542736,7.421097581,7.446227049,7.477651411
7.577645432,7.470271999,7.478401223,7.436947565,7.442033631,7.465179222,7.495554409
7.579717862,7.486070118,7.494649034,7.453183407,7.461747925,7.482892713,7.512232077
7.581533486,7.500499475,7.509486738,7.468033404,7.479979998,7.499131056,7.527462185
7.583078635,7.513403387,7.522753633,7.481337667,7.496527136,7.513717712,7.541079961
7.58433194,7.52458127,7.534242279,7.492884577,7.511138924,7.526427187,7.552873061
7.585288211,7.533923898,7.543841472,7.502562255,7.523668553,7.537135968,7.562727683
7.585938547,7.541306096,7.551422969,7.510240517,7.533951211,7.545700553,7.570510791
7.586275794,7.54661831,7.556874767,7.515805505,7.541840878,7.5519966,7.57610887
7.586300898,7.549829972,7.56016367,7.519224601,7.547270734,7.55598052,7.579486214
7.585999248,7.550878895,7.561227189,7.520433828,7.550154515,7.557581161,7.580579505
7.585368876,7.549751294,7.560051614,7.519419336,7.55045857,7.556779363,7.579375011
7.584417979,7.546489038,7.556681082,7.516224636,7.548207128,7.553615009,7.575916698
7.583153792,7.541120444,7.55114472,7.510874899,7.543418034,7.548115185,7.570235013
7.581594151,7.533711941,7.543510797,7.503436196,7.536152039,7.540347966,7.562401166
7.579769087,7.524378567,7.533897974,7.494023691,7.526527399,7.53043753,7.552536456
7.577705771,7.513229917,7.522417328,7.48274396,7.5146515,7.518495976,7.54075499
7.575434493,7.500403553,7.509210432,7.469736434,7.500672272,7.504671305,7.527202204
7.572984078,7.486082055,7.494464246,7.455186391,7.484786339,7.489159261,7.512070607
7.570376784,7.470432407,7.478353958,7.439267953,7.467179963,7.4721398,7.495537726
7.567620515,7.453647407,7.461076957,7.422178704,7.44807228,7.453824559,7.477808313
7.564767062,7.435972769,7.442887097,7.404168295,7.427735203,7.434477944,7.459140471
7.561848972,7.417590921,7.423971084,7.385422803,7.406383214,7.41430056,7.439726642
7.558921818,7.398768289,7.404602061,7.366207994,7.384314032,7.39358038,7.419847068
7.556034179,7.379735433,7.385016976,7.346759503,7.361803851,7.372573672,7.399746305
7.553227206,7.360718609,7.36544768,7.327305614,7.339118608,7.351528164,7.379660311
7.550538739,7.341972246,7.346157388,7.308110368,7.316554732,7.330723009,7.359859358
7.547993523,7.323725879,7.327381672,7.289409587,7.294390711,7.310413996,7.340585789
7.545613233,7.306205404,7.309352618,7.271434348,7.272903521,7.290854077,7.322077008
7.543415007,7.289633287,7.29230096,7.254417445,7.252362304,7.272291892,7.304570233
7.541433047,7.274211701,7.276434545,7.238564104,7.233023675,7.254955608,7.288280564
7.539697138,7.260143169,7.261960816,7.224081664,7.215137418,7.239070058,7.273418392
7.538235309,7.247605757,7.249061876,7.211150742,7.198929746,7.224838381,7.260172631
7.537065202,7.236744642,7.237888735,7.199918691,7.184595927,7.212429322,7.248698954
7.536202952,7.227718653,7.228602248,7.190550932,7.17233987,7.202019794,7.239160153
7.53564992,7.220632244,7.221313111,7.183160045,7.162311359,7.193735859,7.231671187
7.53540402,7.215572997,7.216111145,7.177836593,7.154639959,7.187682343,7.226326575
7.535466229,7.212625064,7.213082727,7.174671937,7.149443544,7.183956044,7.223213262
7.535822446,7.211816889,7.212258902,7.173699858,7.146782735,7.182596912,7.222362858
7.53649324,7.21315866,7.213650217,7.174930495,7.146690917,7.183621854,7.223788279
7.537467163,7.216653834,7.21725878,7.178367775,7.1491901,7.187037915,7.22749033
7.538741968,7.222262572,7.223043678,7.183968946,7.154257621,7.192809018,7.233427336
7.540302326,7.229911807,7.230927426,7.191657513,7.16182608,7.200857835,7.241518892
7.542128626,7.239516667,7.24082462,7.201350317,7.171813202,7.211097457,7.251679468
7.544195217,7.250952649,7.252606889,7.212921774,7.184090921,7.223393653,7.263775977
7.546478108,7.264083469,7.266133137,7.226237296,7.198510001,7.237598005,7.277662014
7.548950924,7.278735929,7.281226498,7.241124066,7.214881327,7.253523763,7.293156574
7.551580241,7.294717889,7.297687851,7.257388001,7.23299017,7.270962754,7.310056764
7.554335609,7.311826663,7.31530937,7.274823168,7.252604903,7.289692905,7.32814786
7.557186767,7.329849158,7.333870259,7.29321158,7.273475102,7.309477341,7.347202708
7.560088843,7.348534874,7.353111806,7.3122941,7.295316807,7.330044526,7.366956655
7.5630018,7.36765278,7.372794841,7.331831921,7.317852701,7.351136565,7.387163742
7.565884223,7.386953978,7.392663591,7.351569316,7.340789462,7.372478714,7.407561414
7.568697078,7.406176128,7.412446865,7.37123671,7.363817102,7.393781666,7.427871341
7.571408331,7.425075138,7.431894092,7.390587817,7.386638363,7.414772962,7.447835968
7.573987391,7.44341167,7.450758866,7.409376968,7.408957705,7.435184761,7.467201779
7.576400176,7.460929663,7.468779055,7.42734431,7.430474315,7.454735915,7.485701024
7.578598021,7.477392385,7.485711557,7.444250098,7.450895838,7.473162405,7.503083602
7.58057048,7.492637562,7.501388959,7.45992731,7.470013582,7.490280958,7.519177158
7.582277665,7.5064134,7.515554253,7.474116822,7.487526286,7.505813179,7.533718528
7.583705741,7.518572932,7.528055542,7.486665279,7.503240027,7.519591439,7.546553197
7.58483943,7.528972932,7.538744771,7.497423702,7.516969256,7.5314534,7.557528018
7.585663333,7.537459644,7.547463662,7.506227313,7.528520493,7.541227342,7.5664804
7.58617434,7.543944713,7.554122395,7.512987648,7.537765946,7.54880929,7.573318077
7.586366375,7.548342294,7.558633299,7.517615456,7.544587291,7.554099863,7.577951817
7.586235418,7.550597347,7.560937913,7.520055018,7.548899374,7.557032848,7.580321277
7.585773718,7.5506879,7.561016743,7.520286265,7.550652083,7.557577756,7.580405593
7.584997109,7.548615358,7.558870289,7.518308572,7.54983036,7.555731951,7.578205778
7.583910235,7.544412626,7.554531644,7.514152669,7.546450198,7.551524566,7.573754735
7.582525523,7.538135841,7.548060754,7.507875537,7.540560145,7.545013729,7.567115247
7.580858322,7.529864769,7.539538424,7.499552494,7.532237862,7.53628387,7.558369912
7.578931505,7.519711798,7.529080018,7.489297232,7.521597001,7.525454613,7.547637955
7.576768732,7.507809364,7.516822041,7.47723994,7.508777144,7.512665948,7.535058408
7.574398591,7.494301911,7.502913742,7.463529199,7.493934408,7.498073407,7.520785885
7.571855122,7.479373848,7.48754446,7.448353304,7.477267893,7.481874663,7.505014032
7.569158421,7.463206814,7.470901586,7.431900756,7.458980771,7.46426577,7.487934256
7.56636081,7.446001111,7.453192212,7.414372881,7.439297846,7.445465995,7.469760054
7.563487762,7.427985489,7.43465213,7.396006787,7.418480268,7.425723027,7.450733173
7.56058232,7.409393074,7.415521355,7.377040046,7.396790911,7.405288507,7.431098357
7.557680649,7.390441533,7.396021829,7.357691451,7.374488053,7.384404507,7.411083811
7.554825163,7.371391206,7.376420911,7.338222835,7.351868114,7.363352832,7.390963526
7.552053151,7.352467113,7.356950523,7.318861547,7.329203942,7.342384524,7.370977056
7.549405677,7.333915703,7.337862666,7.29985904,7.306786754,7.321771371,7.351381887
7.546917706,7.315968452,7.319395911,7.28145448,7.284895113,7.301769603,7.332424085
7.544608821,7.298837288,7.301769586,7.263866397,7.263788525,7.282616674,7.314328213
7.54251653,7.282754008,7.285220969,7.247334958,7.243750843,7.26457123,7.297336509
7.540658112,7.267916688,7.269954751,7.232068165,7.225029684,7.247856327,7.281659685
7.539051072,7.254500079,7.256151546,7.218243061,7.207852393,7.232672919,7.267484586
7.53771604,7.242690332,7.244002363,7.206054852,7.19245747,7.219231461,7.255006532
7.53666982,7.232634415,7.233658383,7.195651918,7.179035998,7.207699959,7.244380412
7.535924611,7.22444664,7.22523566,7.187146491,7.167746288,7.198211115,7.235727976
7.535495967,7.218250699,7.218863883,7.180668289,7.158754529,7.190908267,7.229181377
7.535388471,7.214129333,7.214626633,7.176305937,7.152178641,7.185886108,7.22482445
7.535597227,7.212120915,7.212565846,7.174099684,7.148090929,7.183195965,7.222703109
7.536102019,7.21226043,7.212717434,7.174090217,7.146558126,7.1828847,7.222852982
7.536911188,7.214574253,7.215108363,7.176309403,7.147626352,7.184983981,7.225301585
7.538011086,7.219006187,7.219681066,7.180701699,7.151259008,7.189440536,7.229990848
7.539400114,7.225524755,7.226403687,7.187233419,7.157438115,7.196224792,7.236887857
7.541068818,7.234055093,7.235197094,7.195829865,7.166094639,7.205258849,7.245911652
7.542999579,7.244482837,7.245944075,7.206373989,7.177112131,7.216420933,7.256941053
7.54516955,7.256689272,7.258521217,7.218745048,7.190362647,7.229583228,7.269850125
7.54754671,7.270508728,7.272759459,7.232776135,7.205668835,7.244567781,7.284464747
7.55009867,7.285771958,7.288481814,7.248294828,7.222840517,7.261190571,7.300602827
7.552782799,7.302282437,7.305487899,7.265105671,7.241653457,7.279235199,7.318058421
7.555576916,7.319819149,7.323548803,7.282981054,7.261854009,7.298460438,7.336598668
7.558447194,7.338164306,7.342439346,7.301700349,7.283185913,7.318623464,7.35598943
7.5613584,7.357077372,7.3619126,7.321019302,7.305368337,7.339459877,7.375977938
7.564270211,7.376300724,7.381703228,7.340673311,7.328104382,7.360688042,7.396292831
7.567142857,7.39559407,7.401562454,7.36041447,7.351105681,7.38204083,7.416677576
7.569931395,7.414702628,7.421227593,7.379977242,7.374067382,7.403235715,7.436863317
7.572593941,7.433372449,7.440437274,7.399102542,7.396690412,7.423994051,7.456583373
