Subsystem #1|CTLs|Vars|Vrms1,Subsystem #1|CTLs|Vars|Vrms2,Subsystem #1|CTLs|Vars|Vrms3,Subsystem #1|CTLs|Vars|Vrms4,Subsystem #1|CTLs|Vars|Vrms6,Subsystem #1|CTLs|Vars|Vrms7
7.560208821,7.609120051,7.627614165,7.595528926,7.617868964,7.654532764
7.301472196,7.591376827,7.624609395,7.592658277,7.609197158,7.651142155
7.555617858,7.60196721,7.62018203,7.58890003,7.610619217,7.646708267
7.293245564,7.582395741,7.615453828,7.584273173,7.600166636,7.641600739
7.54751857,7.591357413,7.609306309,7.578764628,7.599877997,7.635456529
7.281821217,7.569996677,7.602877485,7.572402005,7.587673558,7.628656305
7.535964431,7.577353424,7.59505108,7.565182251,7.585708752,7.620843761
7.267281018,7.554269629,7.58697142,7.557132292,7.57180871,7.612401908
7.521041848,7.560051207,7.577513446,7.54824596,7.568208288,7.602969229
7.249705221,7.535307797,7.567830218,7.538554281,7.552666294,7.592934233
7.502841444,7.53955738,7.556801517,7.528060611,7.547484617,7.581943018
7.229216352,7.513242001,7.54558567,7.516796524,7.53037818,7.57038691
7.481492486,7.516007606,7.533052078,7.504759102,7.523674461,7.557903784
7.205933691,7.488204313,7.520371134,7.491989565,7.50507804,7.544895239
7.457130887,7.489553646,7.506418236,7.478492196,7.49693127,7.531006251
7.180014414,7.46036227,7.492355168,7.464299059,7.476934774,7.516629393
7.429903194,7.460357162,7.477062972,7.4494204,7.467418541,7.50141518
7.151619679,7.429887255,7.461710159,7.433895458,7.446121521,7.485763265
7.39998847,7.428609545,7.445178712,7.417734406,7.435329461,7.469324347
7.120932851,7.396972707,7.428630612,7.400971725,7.412833691,7.452492805
7.367568678,7.394506593,7.410962444,7.383629551,7.400861855,7.434932009
7.088151077,7.361825874,7.39332453,7.365734307,7.377280311,7.417027153
7.332835914,7.358256163,7.37462339,7.347314362,7.364226083,7.398448617
7.053484658,7.324667119,7.35601297,7.328403728,7.339683805,7.379588312
7.296009808,7.320089977,7.336393931,7.309020748,7.325655923,7.360107404
7.017141818,7.285718439,7.316919103,7.289203198,7.300268828,7.340400458
7.257304303,7.280235758,7.296502696,7.268976848,7.285381379,7.320137717
6.97936115,7.245224721,7.276288092,7.248377928,7.25928225,7.299709281
7.216945874,7.238936429,7.255193716,7.227427853,7.243648289,7.278784218
6.940376248,7.203427892,7.234362323,7.206171116,7.216968401,7.257757639
7.175169253,7.196438415,7.21271405,7.184621925,7.200705666,7.236294328
6.900422231,7.160575787,7.191390313,7.162832604,7.17357783,7.214794387
7.132220185,7.152999139,7.169321582,7.140818162,7.156813368,7.192925907
6.859750012,7.116925673,7.147629494,7.118621852,7.129370359,7.17107704
7.088334586,7.108867727,7.125266082,7.096268529,7.112223478,7.148928801
6.81860261,7.072731206,7.103333889,7.073795205,7.084602385,7.126859423
7.043754031,7.064300076,7.080803889,7.05123203,7.067194804,7.104559157
6.777240591,7.028253949,7.058764716,7.028616554,7.039537818,7.082402308
6.998728582,7.019555354,7.036194317,7.005970947,7.021989271,7.060075801
6.735905365,6.98374576,7.014174031,6.983341365,6.994431467,7.037957253
6.953501051,6.974885911,6.991689839,6.960741417,6.976862175,7.015730554
6.69484107,6.939457734,6.969812766,6.93822425,6.949537194,6.993774483
6.908313621,6.930544201,6.947542789,6.915799642,6.932068759,6.971774835
6.65429475,6.895639903,6.925930635,6.89351919,6.905107819,6.950102776
6.863401134,6.886774267,6.903997074,6.87139412,6.887856058,6.928451511
6.61450375,6.852535848,6.882770778,6.849473951,6.861389689,6.907184105
6.819001174,6.843817522,6.861293622,6.827770204,6.844468153,6.886000266
6.575700168,6.81038315,6.8405702,6.806330494,6.818623113,6.865254092
6.775338266,6.801906598,6.819664592,6.785166006,6.802140772,6.844651881
6.538107522,6.769408569,6.799555152,6.764320619,6.777037787,6.82453753
6.732633626,6.761264771,6.779332557,6.743809073,6.761099789,6.804627292
6.501945664,6.729835111,6.759947781,6.723672112,6.736859352,6.785254817
6.691096534,6.722107821,6.740512513,6.703920405,6.72156379,6.766139747
6.467420735,6.69187141,6.721955909,6.684599084,6.698299285,6.747611951
6.650942069,6.684646659,6.703414084,6.665715814,6.683746111,6.729396821
6.434724567,6.655715789,6.685777005,6.647305171,6.661558636,6.711804477
6.612347501,6.649065335,6.66822062,6.629385327,6.647833806,6.694579957
6.404057642,6.621565441,6.651606996,6.611992799,6.626836965,6.6780259
6.57550767,6.615555083,6.635121805,6.595125377,6.61402041,6.661876595
6.37558041,6.589588092,6.619612844,6.578835715,6.594304867,6.646441082
6.540600976,6.584287012,6.604286999,6.563111839,6.582479067,6.631453632
6.349463747,6.559953479,6.589963047,6.548009393,6.564134517,6.61721608
6.507788553,6.555419881,6.575873576,6.533509321,6.553370944,6.603465993
6.325847178,6.532807734,6.562802872,6.519666215,6.536474738,6.590493741
6.477220557,6.529097815,6.550023772,6.5064672,6.526842144,6.578053363
6.304872073,6.50829165,6.538271806,6.493952733,6.511468565,6.566410941
6.449034425,6.505450381,6.526865498,6.482120181,6.503024054,6.555341075
6.286665224,6.486534396,6.516497756,6.471004029,6.489247199,6.545092765
6.423362233,6.484599253,6.506518325,6.460595327,6.48204038,6.535446045
6.271325292,6.467638483,6.497582133,6.450928532,6.469915621,6.526638005
6.400320931,6.466648308,6.48908395,6.442001107,6.463996136,6.518467102
6.258951502,6.451704109,6.481623972,6.433832249,6.45357582,6.511142947
6.380004338,6.451681553,6.474644553,6.426426852,6.448976957,6.504483819
6.249618747,6.438810168,6.468701024,6.419799922,6.440308538,6.498682513
6.362505035,6.43977671,6.463275584,6.413954748,6.437061556,6.493568856
6.243392902,6.429023036,6.458878515,6.408903279,6.430181717,6.489319178
6.347896171,6.430992214,6.455033256,6.404647541,6.428309215,6.485775667
6.240319913,6.422392019,6.452204809,6.401197202,6.423246231,6.483098595
6.336238463,6.425371324,6.44995856,6.398552658,6.422763854,6.481142574
6.240433303,6.418954041,6.448715896,6.396724037,6.419540335,6.480054014
6.327579819,6.422942478,6.448077624,6.395702159,6.420454228,6.479693082
6.243742528,6.418723825,6.448425685,6.395503278,6.419079852,6.480196813
6.321951791,6.423719507,6.449402129,6.396113639,6.421394374,6.48143625
6.250252078,6.421707414,6.45133935,6.397545644,6.421871657,6.483529631
6.319368702,6.427698147,6.453925636,6.399785768,6.425579883,6.48636319
6.259946015,6.427892693,6.457444081,6.402843532,6.427904301,6.490037195
6.319832367,6.434859783,6.461627429,6.406702862,6.43299183,6.494450869
6.272797198,6.437253569,6.466713032,6.411374439,6.437151881,6.499690288
6.32333645,6.445173572,6.472474364,6.416836128,6.443598533,6.505663844
6.288749563,6.449742422,6.479098311,6.423094954,6.449567222,6.512438965
6.329845806,6.458585289,6.48641037,6.430133513,6.457344994,6.519944024
6.307746176,6.465300994,6.494541094,6.437949851,6.465091867,6.528222367
6.339314865,6.475028987,6.50336765,6.446530575,6.474164114,6.537221692
6.329712084,6.483858572,6.512970255,6.455871039,6.483654548,6.546967356
6.351689434,6.494425993,6.523265753,6.465950045,6.493975875,6.557414642
6.354545285,6.505318929,6.534289546,6.476765071,6.505158681,6.568576126
6.366895042,6.51667819,6.546004625,6.488293904,6.516680248,6.580421222
6.382143597,6.529579869,6.55839648,6.500531804,6.529501157,6.592944646
6.384841729,6.541676173,6.57147347,6.513453407,6.542166025,6.60612917
6.412382524,6.556519063,6.58516876,6.527050026,6.556558443,6.619949314
6.4054199,6.56929016,6.599541168,6.541299064,6.570301533,6.634406235
6.445122631,6.586001397,6.614471294,6.556185877,6.586194094,6.649453862
6.428512907,6.599379885,6.630066121,6.571689686,6.600944003,6.665109776
6.480218806,6.617879649,6.646156877,6.587792705,6.618259237,6.681310122
6.453989538,6.631792336,6.662893989,6.604471352,6.633937829,6.698084572
6.517503165,6.651989506,6.680061563,6.621706635,6.652587865,6.715353393
6.481696224,6.66635641,6.697852888,6.63947202,6.669109433,6.73315816
6.556795019,6.688151956,6.716006596,6.6577483,6.688998959,6.751404404
6.511475417,6.702893215,6.734762842,6.676510776,6.706276812,6.770150008
6.597914319,6.726184201,6.753809311,6.695734057,6.727307305,6.789280025
6.543146852,6.741205692,6.773426329,6.715389058,6.74524023,6.808862438
6.640652975,6.765879851,6.793263886,6.735456569,6.76730429,6.828774286
6.576530531,6.781093461,6.813642093,6.755903705,6.785795856,6.849093954
